icd_code_4;CLASS_GPEAS_EXT;fl_cg;id_age_group;age_group;redistribuir;cod_class;CLASS_GPEAS_v032025;CLASS_GPEAS_PRODUCAO
A084;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A085;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A088;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A089;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A09;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A090;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A099;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A10;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A11;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A12;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A13;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A14;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A149;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A15;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A150;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A151;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A152;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A153;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A154;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A155;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A156;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A157;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A158;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A159;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A16;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A160;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A161;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A162;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A163;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A164;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A165;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A167;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A168;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A169;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A17;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A170;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A171;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A173;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A178;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A179;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A18;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A180;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A181;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A182;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A183;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A184;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A185;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A186;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A187;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A188;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A189;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A19;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A190;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A191;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A192;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A198;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A199;trans_tuberculose;;;;;trans_tuberculose;trans_tuberculose;trans_tuberculose
A20;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A200;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A201;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A202;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A203;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A207;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A208;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A209;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A21;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A210;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A211;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A212;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A213;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A217;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A218;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A219;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A22;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A220;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A221;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A222;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A227;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A228;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A229;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A23;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A230;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A231;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A232;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A233;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A238;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A239;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A24;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A240;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A241;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A242;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A243;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A244;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A249;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A25;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A250;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A251;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A259;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A26;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A260;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A267;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A268;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A269;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A27;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A270;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A278;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A279;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A28;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A280;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A281;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A282;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A288;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A289;trans_zoonoticas;;;;;trans_zoonoticas;trans_zoonoticas;trans_zoonoticas
A29;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A30;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A300;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A301;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A302;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A303;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A304;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A305;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A308;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A309;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A31;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A310;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A311;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A312;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A318;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A319;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A32;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A320;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A321;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A327;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A328;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A329;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A33;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A330;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A34;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A340;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A35;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A350;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A36;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A360;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A361;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A362;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A363;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A368;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A369;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A37;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A370;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A371;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A378;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A379;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A38;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A380;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A381;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A388;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A389;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A39;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A390;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A391;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A392;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A393;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A394;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A395;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A398;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A399;trans_meningites;;;;;trans_meningites;trans_meningites;trans_meningites
A40;_all;Garbage Code;;;;_all;_all;_all
A400;_all;Garbage Code;;;;_all;_all;_all
A401;_all;Garbage Code;;;;_all;_all;_all
A402;_all;Garbage Code;;;;_all;_all;_all
A403;_all;Garbage Code;;;;_all;_all;_all
A408;_all;Garbage Code;;;;_all;_all;_all
A409;_all;Garbage Code;;;;_all;_all;_all
A41;_all;Garbage Code;;;;_all;_all;_all
A410;_all;Garbage Code;;;;_all;_all;_all
A411;_all;Garbage Code;;;;_all;_all;_all
A412;_all;Garbage Code;;;;_all;_all;_all
A413;_all;Garbage Code;;;;_all;_all;_all
A414;_all;Garbage Code;;;;_all;_all;_all
A415;_all;Garbage Code;;;;_all;_all;_all
A416;_all;Garbage Code;;;;_all;_all;_all
A418;_all;Garbage Code;;;;_all;_all;_all
A419;_all;Garbage Code;;;;_all;_all;_all
A42;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A420;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A421;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A422;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A427;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A428;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A429;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A43;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A430;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A431;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A438;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A439;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A44;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A440;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A441;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A448;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A449;trans_hiv_aids;Garbage Code;;;;trans_hiv_aids;trans_hiv_aids;trans_hiv_aids
A45;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A459;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A46;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A460;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A47;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A48;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A480;_all;Garbage Code;;;;_all;_all;_all
A481;lri_post_neo;;4;Post Neonatal;;lri_post_neo;lri_post_neo;lri_post_neo
A482;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A483;_all;Garbage Code;;;;_all;_all;_all
A484;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A485;other_causes_all;;;;;other_causes_all;other_causes_all;other_causes_all
A488;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A49;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A490;_all;Garbage Code;;;;_all;_all;_all
A491;_all;Garbage Code;;;;_all;_all;_all
A492;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A493;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A498;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A499;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A50;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A500;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A501;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A502;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A503;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A504;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A505;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
A506;trans_sexualmente_transmissíveis;;;;;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis;trans_sexualmente_transmissíveis
